route,route_id,origin_destination
49M/251,339,SECUNDERABAD TO RGI AIRPORT
12RM,341,RAMNAGAR TO VBIT PARK
49M/251,342,RGI AIRPOT TO SECUNDERABAD
190RK,351,RAMNAGAR GUNDU TO KPHB TEMPLE
190RK,352,KPHB TEMPLE TO RAMNAGARGUNDU
216L/W,360,LINGAMPALLY TO WAVEROCK
216L/W,361,WAVEROCK TO LINGAMPALLY
217A,364,KOTI MEDICAL CLG  PATANCHERU
113M,366,UPPAL TO MEHDIPATNAM
113M,367,MEHDIPATNAM TO UPPAL
118WQ,368,WAVEROCK TO MEHDIPATNAM
217A,369,PATANCHERU TO KOTI MEDICAL COL
5K,371,MEHDIPATNAM TO SECUNDERABAD
5K,372,SECUNDERABAD TO MEHDIPATNAM
118WQ,375,MEHDIPATNAM TO WAVEROCK
94H,378,HIMAYATH SAGAR TO KOTI
94H,379,KOTI TO HIMAYATH SAGAR
252,381,DILSUKNAGAR TO AIRPORT
252,382,AIRPORT TO DILSUKHNAGAR
95K,383,RJNR DEPOT TO SRIRAM COLONY
95K,391,SRIRAM COLONY TO RJNR DEPOT
113I/M,394,MEHDIPATNAM TO UPPAL
113YK,396,UPPAL TO KONDAPUR
113I/M,399,UPPAL TO MEHDIPATNAM
218,404,KOTI MEDICAL COLLEGE TO PTC
218,405,PATANCHERU TO KOTI MEDICAL CLG
3KN,406,KUSHAIGUDA TO AFZALGUNJ
3KN,407,AFZALGUNJ TO KUSHAIGUDA
10L,409,KPHB IV TO SECUNDERABAD
10L,410,SECUNDERABAD TO KPHB 4TH PHASE
187,411,KPHB IV PHASE TO CBS
187,412,CBS TO KPHB IV PHASE
113E/L,415,LINGAMPALLY TO UPPAL
113E/L,425,UPPAL TO LINGAMPALLY
90L,445,JBS TO LB NAGAR
90L,447,LB NAGAR TO JBS
156V,458,MEHDIPATNAM TO NGO COLONY
218DV,459,NGOS COLONY TO LINGAMPALLY
218DV,460,LINGAMPALLY TO NGOS COLONY
156/299,461,HYT NAGAR TO MEHDIPATNAM
156/299,462,MEHDIPATNAM TO HYT-1
1V,463,NGO COLONY TO RETHIFILE
1V,464,RETHIFILE TO NGOS COLONY
156V,467,NGO S TO MEHDIPATNAM
90L/300,476,MEHDIPATNAM TO RETHIFILE
90L/300,477,RETHIFILE TO MEHDIPATNAM
1DV,480,NGOS TO RETHI FILE BS
1DV,481,RETHIFILE TO NGOS COLONY
290,488,HYT NAGAR TO JBS
290,489,JBS TO HYT NAGAR
187DL,562,LB NAGAR TO KPHB
158FV,563,BORABANDA TO NGOS COLONY
158FV,564,NGO COLONY  TO BORABANDA
299M,571,HAYAT NAGAR TO MEHDIPATNAM
299M,572,MEHDIPATNAM TO HAYAT NAGAR
225L,573,LB NAGAR TO LINGAMPALLY
225L,574,LINGAMPALLY TO LB NAGAR
158VJ,579,NGOS COLONY TO JEEDIMETLA DEPOT
158VJ,580,JEEDIMETLA TO NGOS COLONY
156/288,581,NGOS COLONY TO CHILKUR
156/288,582,CHILKUR TO NGOS COLONY
19K,605,MEHDIPATNAM TO KPHB TEMPLESTOP
19K,606,KPHB TEMPLESTOP TO MEHDIPATNAM
25S,620,SECUNDERABAD To  SUCHITRA
25S,625,SUCHITRA To SECUNDERABAD
113/288,630,UPPAL TO MOINABAD
